device_id;UTC_dateti;UTC_date;UTC_time;datatype;satcount;U_bat_mV;bat_soc_pc;solar_I_mA;Latitude;Longitude;Altitude_m;speed_km_h;direction_;temperatur;mag_x;mag_y;mag_z;acc_x;acc_y;acc_z;Periode;Quinzaine;Sunrise;Sunset;Affichage;Commentair;Site;hdop
221275;01/04/2023;01/04/2023;00:13:31;GPS;5;3667;0;0;50,10793700000;4,21180300000;197;2;335;25;623;-218;576;153;982;373;Nuit;Quinzaine 23;07:21;20:14;OUI;;Bachant Malakoff;2,0
221275;01/04/2023;01/04/2023;09:18:11;GPS;6;3665;0;4;50,10807000000;4,21107300000;243;0;171;26;352;-175;72;430;436;869;Jour;Quinzaine 23;07:21;20:14;OUI;;Bachant Malakoff;1,4
221275;01/04/2023;01/04/2023;16:17:42;GPS;8;3676;0;0;50,10831800000;4,21164000000;262;0;154;27;409;-478;215;325;907;449;Jour;Quinzaine 23;07:21;20:14;OUI;;Bachant Malakoff;1,1
221275;01/04/2023;01/04/2023;16:56:19;GPS;6;3678;1;0;50,10822300000;4,21166800000;272;0;0;28;407;-490;225;345;905;422;Jour;Quinzaine 23;07:21;20:14;OUI;;Bachant Malakoff;1,7
221275;01/04/2023;01/04/2023;20:12:10;GPS;9;3678;1;0;50,10631900000;4,21170900000;247;0;0;23;482;-133;162;390;815;533;Jour;Quinzaine 23;07:21;20:14;OUI;;Bachant Malakoff;1,2
221275;02/04/2023;02/04/2023;00:11:50;GPS;8;3678;1;0;50,10644900000;4,21151400000;215;0;0;23;441;-147;114;261;912;480;Nuit;Quinzaine 23;07:19;20:16;OUI;;Bachant Malakoff;1,0
221275;02/04/2023;02/04/2023;04:11:50;GPS;7;3678;1;0;50,10640300000;4,21168000000;224;0;0;22;492;-105;219;322;862;512;Nuit;Quinzaine 23;07:19;20:16;OUI;;Bachant Malakoff;1,3
221275;02/04/2023;02/04/2023;06:59:41;GPS;10;3676;0;0;50,10664000000;4,20683500000;249;0;327;23;330;-228;52;502;630;665;Nuit;Quinzaine 23;07:19;20:16;OUI;;Bachant Malakoff;0,8
221275;02/04/2023;02/04/2023;13:59:52;GPS;8;3676;0;0;50,10804400000;4,20958200000;215;0;86;26;423;-590;361;415;798;534;Jour;Quinzaine 23;07:19;20:16;OUI;;Bachant Malakoff;1,7
221275;02/04/2023;02/04/2023;20:14:11;GPS;16;3676;0;0;50,10309200000;4,20615000000;189;0;0;24;114;-530;133;565;494;721;Jour;Quinzaine 23;07:19;20:16;OUI;;Bachant Malakoff;0,6
221275;03/04/2023;03/04/2023;00:14:10;GPS;16;3676;0;0;50,09129000000;4,20293700000;182;0;0;22;445;-525;378;522;622;650;Nuit;Quinzaine 23;07:17;20:17;OUI;;Bachant Malakoff;0,7
221275;03/04/2023;03/04/2023;04:14:34;GPS;8;3676;0;0;50,10300400000;4,20474100000;174;0;152;24;346;-514;198;339;355;917;Nuit;Quinzaine 23;07:17;20:17;OUI;;Bachant Malakoff;1,2
221275;03/04/2023;03/04/2023;07:05:11;GPS;12;3670;0;0;50,10749400000;4,21015800000;186;0;119;28;406;-261;98;302;862;526;Nuit;Quinzaine 23;07:17;20:17;OUI;;Bachant Malakoff;0,8
221275;03/04/2023;03/04/2023;14:20:12;GPS;7;3667;0;0;50,10747500000;4,21046400000;226;0;12;28;649;-278;449;368;856;499;Jour;Quinzaine 23;07:17;20:17;OUI;;Bachant Malakoff;1,3
