device_id;UTC_dateti;UTC_date;UTC_time;datatype;satcount;U_bat_mV;bat_soc_pc;solar_I_mA;Latitude;Longitude;Altitude_m;speed_km_h;direction_;temperatur;mag_x;mag_y;mag_z;acc_x;acc_y;acc_z;Periode;Quinzaine;Sunrise;Sunset;Affichage;Commentair;Site;hdop
221275;10/03/2023;10/03/2023;18:23:20;GPS;8;3634;0;0;50,07617200000;4,20271500000;189;0;274;21;353;-137;57;402;499;818;Jour;Quinzaine 21;07:09;18:39;OUI;;Bachant Malakoff;1,5
221275;11/03/2023;11/03/2023;04:33:20;GPS;6;3662;0;0;50,06589900000;4,18276000000;217;0;0;19;301;-517;221;394;764;600;Nuit;Quinzaine 21;07:07;18:41;OUI;;Bachant Malakoff;1,5
221275;18/03/2023;18/03/2023;19:35:40;GPS;10;3656;0;0;50,16072500000;4,05551100000;228;0;296;27;627;-342;599;187;998;327;Nuit;Quinzaine 22;06:52;18:53;OUI;;Bachant Malakoff;0,9
221275;18/03/2023;18/03/2023;20:35:50;GPS;10;3665;0;0;50,14856700000;4,07482000000;223;0;0;22;427;-524;324;592;453;732;Nuit;Quinzaine 22;06:52;18:53;OUI;;Bachant Malakoff;0,9
221275;19/03/2023;19/03/2023;11:45:49;GPS;10;3662;0;2;50,08193200000;4,21386500000;230;0;260;30;373;-639;345;505;741;544;Jour;Quinzaine 22;06:49;18:54;OUI;;Bachant Malakoff;1,0
221275;19/03/2023;19/03/2023;18:45:42;GPS;5;3670;0;0;50,07253600000;4,20067200000;291;0;295;25;336;-253;69;568;393;778;Jour;Quinzaine 22;06:49;18:54;OUI;;Bachant Malakoff;1,4
221275;19/03/2023;19/03/2023;19:46:44;GPS;9;3673;0;0;50,05950200000;4,18493800000;222;0;0;24;158;-570;184;528;516;732;Nuit;Quinzaine 22;06:49;18:54;OUI;;Bachant Malakoff;0,9
221275;19/03/2023;19/03/2023;23:46:50;GPS;6;3673;0;0;50,05304000000;4,17909300000;121;0;0;25;197;-484;172;484;613;695;Nuit;Quinzaine 22;06:50;18:54;OUI;;Bachant Malakoff;1,7
221275;20/03/2023;20/03/2023;03:46:50;GPS;8;3670;0;0;50,05703400000;4,19030700000;212;0;0;23;354;-534;235;349;770;625;Nuit;Quinzaine 22;06:47;18:55;OUI;;Bachant Malakoff;1,0
221275;20/03/2023;20/03/2023;05:54:50;GPS;6;3673;0;0;50,08010900000;4,19836500000;195;0;0;24;354;-422;130;240;841;595;Nuit;Quinzaine 22;06:47;18:55;OUI;;Bachant Malakoff;1,1
221275;20/03/2023;20/03/2023;23:51:10;GPS;13;3665;0;0;50,06876000000;4,23394500000;201;0;0;26;271;-321;52;428;685;675;Nuit;Quinzaine 22;06:47;18:55;OUI;;Bachant Malakoff;0,7
221275;21/03/2023;21/03/2023;12:14:55;GPS;8;3662;0;0;50,07820100000;4,21592500000;225;0;337;32;556;1;315;13;974;430;Jour;Quinzaine 22;06:45;18:57;OUI;;Bachant Malakoff;1,4
221275;21/03/2023;21/03/2023;19:14:41;GPS;11;3670;0;0;50,07408900000;4,22137500000;184;0;0;29;151;-514;128;549;521;717;Nuit;Quinzaine 22;06:45;18:57;OUI;;Bachant Malakoff;0,8
221275;21/03/2023;21/03/2023;19:51:06;GPS;5;3670;0;0;50,07360100000;4,22076300000;188;0;0;28;483;-198;170;419;774;585;Nuit;Quinzaine 22;06:45;18:57;OUI;;Bachant Malakoff;1,7
221275;21/03/2023;21/03/2023;23:51:19;GPS;10;3670;0;0;50,05856300000;4,19228500000;208;0;0;25;545;-247;256;455;644;692;Nuit;Quinzaine 22;06:45;18:57;OUI;;Bachant Malakoff;0,8
221275;22/03/2023;22/03/2023;03:51:49;GPS;14;3670;0;0;50,03957000000;4,19229500000;242;0;243;25;514;-360;264;533;475;767;Nuit;Quinzaine 22;06:43;18:59;OUI;;Bachant Malakoff;0,7
221275;22/03/2023;22/03/2023;10:05:22;GPS;5;3667;0;0;50,02792700000;4,19925800000;323;0;0;28;430;-521;269;318;858;542;Jour;Quinzaine 22;06:43;18:59;OUI;;Bachant Malakoff;1,7
221275;22/03/2023;22/03/2023;18:38:10;GPS;11;3662;0;0;50,03762400000;4,18516700000;248;0;159;25;408;-157;115;304;842;548;Jour;Quinzaine 22;06:43;18:59;OUI;;Bachant Malakoff;0,9
221275;23/03/2023;23/03/2023;14:12:40;GPS;7;3662;0;0;50,08176800000;4,21368600000;224;0;40;32;367;-242;93;454;585;723;Jour;Quinzaine 22;06:41;19:00;OUI;;Bachant Malakoff;1,8
221275;23/03/2023;23/03/2023;19:54:19;GPS;7;3665;0;0;50,07157500000;4,19112700000;175;0;0;27;822;-223;283;353;901;440;Nuit;Quinzaine 22;06:41;19:00;OUI;;Bachant Malakoff;1,2
221275;23/03/2023;23/03/2023;23:56:34;GPS;10;3667;0;0;50,07320800000;4,18823700000;189;0;131;26;573;-404;496;282;893;496;Nuit;Quinzaine 22;06:41;19:00;OUI;;Bachant Malakoff;0,9
221275;24/03/2023;24/03/2023;04:32:10;GPS;15;3665;0;0;50,08049400000;4,19767700000;228;0;0;25;381;-155;76;407;457;842;Nuit;Quinzaine 22;06:39;19:02;OUI;;Bachant Malakoff;0,6
221275;24/03/2023;24/03/2023;19:24:20;GPS;6;3662;0;0;50,07363500000;4,20145700000;172;0;0;25;301;-305;72;428;714;646;Nuit;Quinzaine 22;06:38;19:02;OUI;;Bachant Malakoff;1,3
221275;25/03/2023;25/03/2023;12:09:35;GPS;5;3662;0;2;50,07924700000;4,20813200000;207;0;191;30;500;-258;160;332;922;421;Jour;Quinzaine 22;06:36;19:03;OUI;;Bachant Malakoff;1,9
221275;25/03/2023;25/03/2023;19:09:20;GPS;7;3670;0;0;50,07544700000;4,20583300000;176;0;0;27;611;-380;463;332;819;563;Nuit;Quinzaine 22;06:36;19:03;OUI;;Bachant Malakoff;1,0
221275;25/03/2023;25/03/2023;19:58:50;GPS;6;3673;0;0;50,07515000000;4,20538300000;186;0;0;27;529;-83;221;264;862;533;Nuit;Quinzaine 22;06:36;19:03;OUI;;Bachant Malakoff;1,0
221275;25/03/2023;25/03/2023;23:59:12;GPS;10;3670;0;0;50,08022700000;4,19364800000;195;0;0;25;525;-411;332;444;574;752;Nuit;Quinzaine 22;06:36;19:03;OUI;;Bachant Malakoff;0,9
221275;26/03/2023;26/03/2023;04:04:22;GPS;5;3670;0;0;50,07958600000;4,19664500000;220;0;208;26;336;-618;321;539;584;671;Nuit;Quinzaine 22;07:34;20:05;OUI;;Bachant Malakoff;1,9
221275;26/03/2023;26/03/2023;05:43:19;GPS;6;3667;0;0;50,07981500000;4,19853000000;252;1;0;23;209;-515;127;386;590;773;Nuit;Quinzaine 22;07:34;20:05;OUI;;Bachant Malakoff;1,6
221275;26/03/2023;26/03/2023;12:44:28;GPS;8;3667;0;1;50,07948300000;4,19836000000;270;0;330;28;555;-169;258;379;879;452;Jour;Quinzaine 22;07:34;20:05;OUI;;Bachant Malakoff;1,6
221275;26/03/2023;26/03/2023;19:44:35;GPS;7;3673;0;0;50,07663000000;4,18546800000;218;0;0;25;568;-40;338;191;996;318;Jour;Quinzaine 22;07:34;20:05;OUI;;Bachant Malakoff;1,7
221275;26/03/2023;26/03/2023;19:59:42;GPS;8;3673;0;0;50,07796100000;4,18467200000;246;0;230;23;396;-602;396;490;902;240;Jour;Quinzaine 22;07:34;20:05;OUI;;Bachant Malakoff;1,3
221275;26/03/2023;26/03/2023;23:59:50;GPS;6;3670;0;0;50,08299300000;4,19064700000;208;0;0;23;502;-93;221;295;833;565;Nuit;Quinzaine 22;07:34;20:05;OUI;;Bachant Malakoff;1,1
221275;27/03/2023;27/03/2023;03:59:50;GPS;5;3670;0;0;50,09229700000;4,20469200000;181;0;5;23;300;-427;-20;347;690;714;Nuit;Quinzaine 22;07:32;20:06;OUI;;Bachant Malakoff;2,0
221275;27/03/2023;27/03/2023;05:41:20;GPS;6;3670;0;0;50,10793700000;4,21136500000;236;0;0;26;564;-242;295;314;649;765;Nuit;Quinzaine 22;07:32;20:06;OUI;;Bachant Malakoff;1,3
221275;27/03/2023;27/03/2023;15:47:51;GPS;7;3662;0;0;50,10827300000;4,21176300000;301;0;0;28;-186;-156;74;437;-478;794;Jour;Quinzaine 22;07:32;20:06;OUI;;Bachant Malakoff;1,2
221275;27/03/2023;27/03/2023;20:05:05;GPS;9;3667;0;0;50,10435900000;4,20927800000;213;0;296;23;461;-105;141;333;748;660;Jour;Quinzaine 22;07:32;20:06;OUI;;Bachant Malakoff;0,9
221275;28/03/2023;28/03/2023;00:05:19;GPS;10;3667;0;0;50,10858200000;4,20898200000;255;0;0;23;597;-275;417;221;832;598;Nuit;Quinzaine 22;07:30;20:08;OUI;;Bachant Malakoff;0,8
221275;28/03/2023;28/03/2023;04:16:40;GPS;11;3667;0;0;50,10696000000;4,21304000000;253;0;0;23;486;-223;161;484;598;701;Nuit;Quinzaine 22;07:30;20:08;OUI;;Bachant Malakoff;0,8
221275;30/03/2023;30/03/2023;14:02:22;GPS;6;3659;0;0;50,10836800000;4,21087300000;126;0;0;28;445;-103;151;-57;955;447;Jour;Quinzaine 23;07:25;20:11;OUI;;Bachant Malakoff;1,4
221275;31/03/2023;31/03/2023;00:00:49;GPS;9;3665;0;0;50,10810100000;4,21181500000;217;0;156;24;597;-341;581;347;944;339;Nuit;Quinzaine 23;07:23;20:13;OUI;;Bachant Malakoff;1,2
221275;31/03/2023;31/03/2023;13:55:40;GPS;7;3662;0;0;50,10868500000;4,21154300000;257;0;0;28;488;-550;342;294;898;491;Jour;Quinzaine 23;07:23;20:13;OUI;;Bachant Malakoff;1,2
