bird_id;group;rename;date_debut;date_fin
Bachant Malakoff;Bachant Malakoff.1;BM1;2022-09-16;2022-09-21
Bachant Malakoff;Bachant Malakoff.1;BM1;2022-09-28;2022-10-04
Bachant Malakoff;Bachant Malakoff.12;BM3;2022-10-17;2022-11-15
Bachant Malakoff;Bachant Malakoff.2;BM2;2022-09-22;2022-09-28
Custodelle;Custodelle.26;C1;2022-10-11;2022-10-24
Custodelle;Custodelle.29;C2;2022-10-25;2022-12-13
Germignies B;Germignies B;GB2;2022-10-09;2023-01-15
Germignies B;Germignies B.20;GB1;2022-09-28;2022-10-04
Guemy;Guemy.21;G3;2022-11-03;2023-01-04
Guemy;Guemy.23;G2;2022-10-31;2023-01-04
Guemy;Guemy.28;G1;2022-09-24;2022-10-30
Licques;Licques.12;L3;2022-10-11;2022-10-16
Licques;Licques.19;L2;2022-09-15;2022-10-04
Licques;Licques.23;L1;2022-09-20;2022-10-10
Loos-en-Gohelle 74A;Loos-en-Gohelle 74A.32;LA1;2022-10-17;2023-01-12
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.17;LB3;2022-11-03;2023-01-15
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.22;LB2;2022-10-29;2023-01-15
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.24;LB1;2022-10-19;2022-10-28
Quelmes;Quelmes.16;Q3;2022-10-01;2022-10-07
Quelmes;Quelmes.24;Q2;2022-09-21;2022-09-28
Quelmes;Quelmes.24;Q2;2022-10-08;2022-11-03
Quelmes;Quelmes.24;Q2;2022-11-10;2022-11-28
Quelmes;Quelmes.24;Q2;2022-12-02;2022-12-29
Quelmes;Quelmes.38;Q1;2022-10-28;2022-11-10
Wallers;Wallers.16;W1;2022-09-18;2023-01-08
