bird_id,group,first,last,nb_jour,area_DV,ZST
Bachant Malakoff,Bachant Malakoff.1,2022-09-16,2022-10-04,"13",7273458.47765488,Yes
Bachant Malakoff,Bachant Malakoff.12,2022-10-17,2022-11-15,"29",10278648.4392311,Yes
Bachant Malakoff,Bachant Malakoff.2,2022-09-22,2022-10-06,"9",3986391.98082048,Yes
Custodelle,Custodelle.26,2022-09-26,2022-12-06,"17",3314590.91347952,Yes
Custodelle,Custodelle.29,2022-09-27,2022-12-13,"51",9217523.13948948,Yes
Germignies B,Germignies B,2022-10-09,2022-12-31,"84",73488813.6637589,Yes
Germignies B,Germignies B.16,2022-09-28,2022-10-04,"7",17932705.3412875,Yes
Guemy,Guemy.20,2022-11-03,2022-12-31,"58",7957385.10845923,Yes
Guemy,Guemy.22,2022-10-31,2022-12-05,"6",3313306.37602967,Yes
Guemy,Guemy.26,2022-09-21,2022-10-15,"20",7558077.15457367,Yes
Guemy,Guemy.27,2022-10-08,2022-10-30,"20",5943649.58632119,Yes
Licques,Licques.12,2022-10-11,2022-10-16,"6",5281963.79797178,Yes
Licques,Licques.19,2022-09-13,2022-10-04,"19",11002502.4325781,Yes
Licques,Licques.23,2022-09-12,2022-10-10,"7",7099177.36937352,Yes
Loos-en-Gohelle 74A,Loos-en-Gohelle 74A.33,2022-10-17,2022-12-31,"74",51881339.4950037,Yes
Loos-en-Gohelle 74B,Loos-en-Gohelle 74B.14,2022-10-29,2022-12-31,"63",72021162.4009947,Yes
Loos-en-Gohelle 74B,Loos-en-Gohelle 74B.18,2022-10-19,2022-10-28,"10",17702924.1918593,Yes
Quelmes,Quelmes.19,2022-10-01,2022-10-07,"6",842901.966000597,Yes
Quelmes,Quelmes.32,2022-09-21,2022-12-29,"76",8910551.75975167,Yes
Quelmes,Quelmes.38,2022-10-11,2022-12-02,"15",2578398.82161819,Yes
Wallers,Wallers.1,2022-09-02,2022-09-09,"8",26154443.2629552,Yes
Wallers,Wallers.8,2022-09-18,2022-10-23,"36",37958624.4045126,Yes
