group;id;area;area_DV;bird_id
Bachant Malakoff;homerange;404.365271337891;691994.42047796;Bachant Malakoff
Bachant Malakoff.1;homerange;404.365271337891;1369175.69009162;Bachant Malakoff
Bachant Malakoff.2;homerange;404.365271337891;794469.231694546;Bachant Malakoff
Bachant Malakoff.3;homerange;404.365271337891;31747.9897463843;Bachant Malakoff
Bachant Malakoff.4;homerange;404.365271337891;1156265.38342728;Bachant Malakoff
Custodelle;homerange;241.514380712891;14997.2806535428;Custodelle
Custodelle.1;homerange;241.514380712891;17967.648328633;Custodelle
Custodelle.2;homerange;241.514380712891;75308.4628418609;Custodelle
Custodelle.3;homerange;241.514380712891;26377.1836844906;Custodelle
Custodelle.4;homerange;241.514380712891;76325.4305752963;Custodelle
Custodelle.5;homerange;241.514380712891;462599.770471955;Custodelle
Custodelle.6;homerange;241.514380712891;999690.583867168;Custodelle
Custodelle.7;homerange;241.514380712891;18082.7562094023;Custodelle
Custodelle.8;homerange;241.514380712891;36730.3625732008;Custodelle
Custodelle.9;homerange;241.514380712891;16921.3985518077;Custodelle
Custodelle.10;homerange;241.514380712891;270878.940736026;Custodelle
Custodelle.11;homerange;241.514380712891;165576.688236792;Custodelle
Custodelle.12;homerange;241.514380712891;119587.776154682;Custodelle
Custodelle.13;homerange;241.514380712891;114099.519713551;Custodelle
Germignies A;homerange;1015.44405395508;2427414.74112182;Germignies A
Germignies A.1;homerange;1015.44405395508;1706039.62014589;Germignies A
Germignies A.2;homerange;1015.44405395508;3690047.74416593;Germignies A
Germignies A.3;homerange;1015.44405395508;2330938.43337238;Germignies A
Germignies B;homerange;1825.2604737793;170069.942410573;Germignies B
Germignies B.1;homerange;1825.2604737793;578649.268061951;Germignies B
Germignies B.2;homerange;1825.2604737793;16079992.272631;Germignies B
Germignies B.3;homerange;1825.2604737793;75755.9435221627;Germignies B
Germignies B.4;homerange;1825.2604737793;1348137.30730563;Germignies B
Guemy;homerange;323.279068847656;1825361.53561179;Guemy
Guemy.1;homerange;323.279068847656;842745.939980477;Guemy
Guemy.2;homerange;323.279068847656;564683.212031126;Guemy
Licques;homerange;572.417435864258;0.50027867629251;Licques
Licques.1;homerange;572.417435864258;354711.756869033;Licques
Licques.2;homerange;572.417435864258;408882.849772356;Licques
Licques.3;homerange;572.417435864258;451175.713081703;Licques
Licques.4;homerange;572.417435864258;1466753.62598379;Licques
Licques.5;homerange;572.417435864258;899687.797584385;Licques
Licques.6;homerange;572.417435864258;1237421.97948425;Licques
Licques.7;homerange;572.417435864258;905540.138971761;Licques
Loos-en-Gohelle 74A;homerange;609.656552734375;2572560.34542085;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.1;homerange;609.656552734375;1357306.1457567;Loos-en-Gohelle 74A
Loos-en-Gohelle 74A.2;homerange;609.656552734375;2166699.03351344;Loos-en-Gohelle 74A
Loos-en-Gohelle 74B;homerange;1636.65063994141;1218298.98491166;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.1;homerange;1636.65063994141;3067882.85958164;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.2;homerange;1636.65063994141;8132168.11908279;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.3;homerange;1636.65063994141;1170890.00279889;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.4;homerange;1636.65063994141;39587.7862038072;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.5;homerange;1636.65063994141;1829899.45071882;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.6;homerange;1636.65063994141;710575.805320423;Loos-en-Gohelle 74B
Loos-en-Gohelle 74B.7;homerange;1636.65063994141;197203.392854325;Loos-en-Gohelle 74B
Nabringhen;homerange;713.027289160156;2819124.69179327;Nabringhen
Nabringhen.1;homerange;713.027289160156;527942.401863161;Nabringhen
Nabringhen.2;homerange;713.027289160156;1111589.48360438;Nabringhen
Nabringhen.3;homerange;713.027289160156;1071002.0352932;Nabringhen
Nabringhen.4;homerange;713.027289160156;6398.10866708541;Nabringhen
Nabringhen.5;homerange;713.027289160156;93846.2002093885;Nabringhen
Nabringhen.6;homerange;713.027289160156;1094744.4366235;Nabringhen
Nabringhen.7;homerange;713.027289160156;405625.533879012;Nabringhen
Quelmes;homerange;467.119392724609;340033.856169395;Quelmes
Quelmes.1;homerange;467.119392724609;2487672.69601467;Quelmes
Quelmes.2;homerange;467.119392724609;1450340.38154894;Quelmes
Quelmes.3;homerange;467.119392724609;339732.786199536;Quelmes
Quelmes.4;homerange;467.119392724609;53414.2067324668;Quelmes
Wallers;homerange;464.373709472656;1814298.91542441;Wallers
Wallers.1;homerange;464.373709472656;2829438.17795005;Wallers
