group,id,area,area_DV
Bachant Malakoff,homerange,3166.84881005859,339930.577243365
Bachant Malakoff.1,homerange,3166.84881005859,7273458.47765488
Bachant Malakoff.2,homerange,3166.84881005859,3986391.98082048
Bachant Malakoff.3,homerange,3166.84881005859,340312.544257957
Bachant Malakoff.4,homerange,3166.84881005859,340072.57401251
Bachant Malakoff.5,homerange,3166.84881005859,1343484.47200378
Bachant Malakoff.6,homerange,3166.84881005859,809896.55410748
Bachant Malakoff.7,homerange,3166.84881005859,1107767.58632412
Bachant Malakoff.8,homerange,3166.84881005859,343402.004237477
Bachant Malakoff.9,homerange,3166.84881005859,608858.315629657
Bachant Malakoff.10,homerange,3166.84881005859,341945.374969348
Bachant Malakoff.11,homerange,3166.84881005859,669654.7091616
Bachant Malakoff.12,homerange,3166.84881005859,10278648.4392311
Bachant Malakoff.13,homerange,3166.84881005859,1371727.62085018
Bachant Malakoff.14,homerange,3166.84881005859,340137.847806592
Bachant Malakoff.15,homerange,3166.84881005859,340617.265863802
Bachant Malakoff.16,homerange,3166.84881005859,793952.71792899
Bachant Malakoff.17,homerange,3166.84881005859,342527.647973861
Bachant Malakoff.18,homerange,3166.84881005859,695701.379071169
Custodelle,homerange,2013.07058554688,92177.2679345794
Custodelle.1,homerange,2013.07058554688,92029.5212576389
Custodelle.2,homerange,2013.07058554688,95312.9579142462
Custodelle.3,homerange,2013.07058554688,189149.779939635
Custodelle.4,homerange,2013.07058554688,161800.733791914
Custodelle.5,homerange,2013.07058554688,160289.519812927
Custodelle.6,homerange,2013.07058554688,95364.8107439671
Custodelle.7,homerange,2013.07058554688,189389.095371924
Custodelle.8,homerange,2013.07058554688,92839.0333047975
Custodelle.9,homerange,2013.07058554688,93362.8993763048
Custodelle.10,homerange,2013.07058554688,243998.691384069
Custodelle.11,homerange,2013.07058554688,95048.6419092864
Custodelle.12,homerange,2013.07058554688,315170.22680825
Custodelle.13,homerange,2013.07058554688,99802.1411245646
Custodelle.14,homerange,2013.07058554688,251689.20203932
Custodelle.15,homerange,2013.07058554688,283906.756767956
Custodelle.16,homerange,2013.07058554688,94621.1251512431
Custodelle.17,homerange,2013.07058554688,318576.122464811
Custodelle.18,homerange,2013.07058554688,1503122.15842689
Custodelle.19,homerange,2013.07058554688,95668.3148463636
Custodelle.20,homerange,2013.07058554688,98333.7242416423
Custodelle.21,homerange,2013.07058554688,97471.2709797565
