bird_id,group,first,last,nb_jour,area_DV,ZST
Bachant Malakoff,Bachant Malakoff.1,2022-09-16,2022-10-04,"13",7273458.47765488,Yes
Bachant Malakoff,Bachant Malakoff.12,2022-10-17,2022-11-15,"29",10278648.4392311,Yes
Bachant Malakoff,Bachant Malakoff.2,2022-09-22,2022-10-06,"9",3986391.98082048,Yes
Custodelle,Custodelle.26,2022-09-26,2022-12-06,"17",3314590.91347952,Yes
Custodelle,Custodelle.29,2022-09-27,2022-12-13,"51",9217523.13948948,Yes
Germignies B,Germignies B,2022-10-09,2023-01-15,"97",79352038.8867327,Yes
Germignies B,Germignies B.20,2022-09-28,2022-10-04,"7",16884042.2355798,Yes
Guemy,Guemy.21,2022-11-03,2023-01-04,"61",10317605.3957976,Yes
Guemy,Guemy.23,2022-10-31,2023-01-04,"7",5086472.53765894,Yes
Guemy,Guemy.28,2022-09-21,2023-01-08,"42",19039049.3597881,Yes
Licques,Licques.12,2022-10-11,2022-10-16,"6",5281963.79797178,Yes
Licques,Licques.19,2022-09-13,2022-10-04,"19",11002502.4325781,Yes
Licques,Licques.23,2022-09-12,2022-10-10,"7",7099177.36937352,Yes
Loos-en-Gohelle 74A,Loos-en-Gohelle 74A.32,2022-10-17,2023-01-12,"85",51325894.8433272,Yes
Loos-en-Gohelle 74B,Loos-en-Gohelle 74B.17,2022-11-03,2023-01-15,"71",67708129.1880334,Yes
Loos-en-Gohelle 74B,Loos-en-Gohelle 74B.22,2022-10-29,2023-01-15,"6",16284923.5481496,Yes
Loos-en-Gohelle 74B,Loos-en-Gohelle 74B.24,2022-10-19,2022-10-28,"10",17215830.2232906,Yes
Quelmes,Quelmes.16,2022-10-01,2022-10-07,"7",7899420.10854854,Yes
Quelmes,Quelmes.24,2022-09-21,2022-12-29,"78",21926950.143551,Yes
Quelmes,Quelmes.38,2022-10-11,2022-12-02,"16",9237874.1677807,Yes
Wallers,Wallers.1,2022-09-02,2022-09-09,"8",26154443.2629552,Yes
Wallers,Wallers.8,2022-09-18,2022-10-23,"36",37958624.4045126,Yes
