Identifiant HGD;Nombre de données;Premier jour de collecte;Dernier jour de collecte;Nombre de jour de collecte
Bachant Malakoff;272;16/09/2022;15/11/2022;61
Custodelle;545;25/09/2022;18/12/2022;85
Germignies A;171;18/09/2022;03/10/2022;16
Germignies B;564;18/09/2022;10/02/2023;135
Glageon Bocahut;5;28/08/2022;28/08/2022;1
Guemy;698;16/09/2022;24/01/2023;131
Licques;229;11/09/2022;23/10/2022;43
Loos-en-Gohelle 74A;827;05/10/2022;10/02/2023;110
Loos-en-Gohelle 74B;581;04/10/2022;12/02/2023;132
Nabringhen;56;11/09/2022;20/09/2022;10
Quelmes;795;19/09/2022;12/02/2023;145
Wallers;313;02/09/2022;23/10/2022;52
