bird_id;nb_data;first;last;duration_days;nb_day
Bachant Malakoff;272;16/09/2022;15/11/2022;60;61
Custodelle;545;25/09/2022;18/12/2022;84;85
Germignies A;49;18/09/2022;25/09/2022;7;8
Germignies B;516;24/09/2022;15/01/2023;113;113
Glageon Bocahut;5;28/08/2022;28/08/2022;0;1
Guemy;674;16/09/2022;15/01/2023;121;122
Licques;229;11/09/2022;23/10/2022;42;43
Loos-en-Gohelle 74A;808;05/10/2022;14/01/2023;101;100
Loos-en-Gohelle 74B;491;04/10/2022;15/01/2023;103;104
Nabringhen;56;11/09/2022;20/09/2022;9;10
Quelmes;708;19/09/2022;15/01/2023;118;117
Wallers;313;02/09/2022;23/10/2022;51;52
