bird_id,day_night,nb_data
Bachant Malakoff,Jour,86
Bachant Malakoff,Nuit,186
Custodelle,Jour,226
Custodelle,Nuit,319
Germignies A,Jour,21
Germignies A,Nuit,28
Germignies B,Jour,155
Germignies B,Nuit,361
Glageon Bocahut,Jour,3
Glageon Bocahut,Nuit,2
Guemy,Jour,259
Guemy,Nuit,415
Licques,Jour,64
Licques,Nuit,165
Loos-en-Gohelle 74A,Jour,252
Loos-en-Gohelle 74A,Nuit,556
Loos-en-Gohelle 74B,Jour,158
Loos-en-Gohelle 74B,Nuit,333
Nabringhen,Jour,18
Nabringhen,Nuit,38
Quelmes,Jour,269
Quelmes,Nuit,439
Wallers,Jour,191
Wallers,Nuit,485
