bird_id,day_night,nb_data
Custodelle,Nuit,1837
Custodelle,Jour,996
Wallers,Nuit,1630
Wallers,Jour,783
Germignies B,Jour,980
Germignies B,Nuit,2126
Glageon Bocahut,"",454
Glageon Bocahut,Nuit,755
Glageon Bocahut,Jour,50
Guemy,Jour,1274
Guemy,Nuit,2411
Germignies A,Nuit,1186
Germignies A,Jour,967
Loos-en-Gohelle 74A,Jour,1253
Loos-en-Gohelle 74A,Nuit,3993
Bachant Malakoff,Jour,778
Bachant Malakoff,Nuit,1500
Licques,Jour,570
Licques,Nuit,1425
Nabringhen,Jour,925
Nabringhen,Nuit,3359
Quelmes,Jour,1088
Quelmes,Nuit,2397
Loos-en-Gohelle 74B,Jour,1042
Loos-en-Gohelle 74B,Nuit,2509
