"","id","area"
"Bachant Malakoff","Bachant Malakoff",3166.84881005859
"Custodelle","Custodelle",2013.07058554688
"Germignies A","Germignies A",2557.85551674805
"Germignies B","Germignies B",14995.7611659668
"Glageon Bocahut","Glageon Bocahut",0.8139619140625
"Guemy","Guemy",9107.54220664062
"Licques","Licques",4304.90445432129
"Loos-en-Gohelle 74A","Loos-en-Gohelle 74A",8584.26652587891
"Loos-en-Gohelle 74B","Loos-en-Gohelle 74B",14893.8402943848
"Nabringhen","Nabringhen",5416.0563454834
"Quelmes","Quelmes",13579.8716233398
"Wallers","Wallers",10316.8979012207
